date,state,district,pincode,age_0_5,age_5_17,age_18_greater,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,total_population,Trend_Slope,Trend_R²,Trend_Direction
2025-09-17,Andaman and Nicobar Islands,South Andaman,744107,2.0,0.0,0.0,5.0,0.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-18,Andaman and Nicobar Islands,North And Middle Andaman,744202,2.0,0.0,0.0,5.0,6.0,1.0,7.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-19,Andaman and Nicobar Islands,South Andaman,744107,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-20,Andaman and Nicobar Islands,South Andaman,744207,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-22,Andaman and Nicobar Islands,North And Middle Andaman,744204,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-23,Andaman and Nicobar Islands,South Andaman,744101,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-24,Andaman and Nicobar Islands,Andamans,744105,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-25,Andaman and Nicobar Islands,Nicobar,744302,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-26,Andaman and Nicobar Islands,South Andaman,744104,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-29,Andaman and Nicobar Islands,Andamans,744103,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-13,Andaman and Nicobar Islands,South Andaman,744104,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-15,Andaman and Nicobar Islands,South Andaman,744105,2.0,0.0,0.0,5.0,6.0,2.0,7.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-16,Andaman and Nicobar Islands,South Andaman,744211,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-17,Andaman and Nicobar Islands,Andamans,744102,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-18,Andaman and Nicobar Islands,South Andaman,744101,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-19,Andaman and Nicobar Islands,South Andaman,744206,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-20,Andaman and Nicobar Islands,North And Middle Andaman,744202,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-21,Andaman and Nicobar Islands,South Andaman,744105,2.0,0.0,0.0,5.0,6.0,0.0,5.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-22,Andaman and Nicobar Islands,Andamans,744105,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-23,Andaman and Nicobar Islands,Andamans,744106,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-24,Andaman and Nicobar Islands,South Andaman,744105,2.0,0.0,0.0,5.0,6.0,2.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-25,Andaman and Nicobar Islands,South Andaman,744103,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-26,Andaman and Nicobar Islands,South Andaman,744207,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-27,Andaman and Nicobar Islands,South Andaman,744103,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-28,Andaman and Nicobar Islands,South Andaman,744206,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-29,Andaman and Nicobar Islands,South Andaman,744103,2.0,0.0,0.0,5.0,6.0,2.0,4.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-30,Andaman and Nicobar Islands,South Andaman,744101,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-10-31,Andaman and Nicobar Islands,South Andaman,744102,2.0,0.0,0.0,5.0,6.0,1.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-01,Andaman and Nicobar Islands,North And Middle Andaman,744209,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-02,Andaman and Nicobar Islands,South Andaman,744101,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-03,Andaman and Nicobar Islands,South Andaman,744105,2.0,0.0,0.0,5.0,6.0,0.0,3.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-04,Andaman and Nicobar Islands,Nicobars,744301,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-05,Andaman and Nicobar Islands,North And Middle Andaman,744204,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-06,Andaman and Nicobar Islands,North And Middle Andaman,744202,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-07,Andaman and Nicobar Islands,South Andaman,744103,2.0,0.0,0.0,5.0,6.0,0.0,10.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-08,Andaman and Nicobar Islands,South Andaman,744102,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-09,Andaman and Nicobar Islands,Andamans,744103,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-10,Andaman and Nicobar Islands,Nicobar,744301,2.0,0.0,0.0,5.0,6.0,0.0,4.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-11,Andaman and Nicobar Islands,South Andaman,744206,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-12,Andaman and Nicobar Islands,South Andaman,744206,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-13,Andaman and Nicobar Islands,North And Middle Andaman,744209,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-14,Andaman and Nicobar Islands,South Andaman,744102,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-15,Andaman and Nicobar Islands,North And Middle Andaman,744202,2.0,0.0,0.0,5.0,6.0,2.0,3.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-16,Andaman and Nicobar Islands,South Andaman,744206,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-17,Andaman and Nicobar Islands,North And Middle Andaman,744201,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-18,Andaman and Nicobar Islands,South Andaman,744103,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-19,Andaman and Nicobar Islands,South Andaman,744206,2.0,0.0,0.0,5.0,6.0,0.0,3.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-25,Andaman and Nicobar Islands,North And Middle Andaman,744209,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-26,Andaman and Nicobar Islands,South Andaman,744105,2.0,0.0,0.0,5.0,6.0,1.0,3.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-27,Andaman and Nicobar Islands,North And Middle Andaman,744202,2.0,0.0,0.0,5.0,6.0,0.0,16.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-28,Andaman and Nicobar Islands,Andamans,744105,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-11-29,Andaman and Nicobar Islands,Andamans,744103,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-01,Andaman and Nicobar Islands,South Andaman,744107,2.0,0.0,0.0,5.0,6.0,1.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-02,Andaman and Nicobar Islands,Andamans,744101,2.0,0.0,0.0,5.0,6.0,0.0,5.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-03,Andaman and Nicobar Islands,North And Middle Andaman,744205,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-04,Andaman and Nicobar Islands,North And Middle Andaman,744204,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-05,Andaman and Nicobar Islands,North And Middle Andaman,744204,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-06,Andaman and Nicobar Islands,Nicobar,744301,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-07,Andaman and Nicobar Islands,North And Middle Andaman,744205,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-08,Andaman and Nicobar Islands,South Andaman,744102,2.0,0.0,0.0,5.0,6.0,2.0,3.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-09,Andaman and Nicobar Islands,North And Middle Andaman,744205,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-10,Andaman and Nicobar Islands,Andamans,744206,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-11,Andaman and Nicobar Islands,South Andaman,744107,2.0,0.0,0.0,5.0,6.0,1.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-12,Andaman and Nicobar Islands,North And Middle Andaman,744209,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-13,Andaman and Nicobar Islands,Nicobar,744304,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-14,Andaman and Nicobar Islands,North And Middle Andaman,744204,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-15,Andaman and Nicobar Islands,Andamans,744105,2.0,0.0,0.0,5.0,6.0,0.0,3.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-16,Andaman and Nicobar Islands,North And Middle Andaman,744205,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-18,Andaman and Nicobar Islands,Andamans,744101,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-19,Andaman and Nicobar Islands,Andamans,744105,2.0,0.0,0.0,5.0,6.0,0.0,4.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-20,Andaman and Nicobar Islands,South Andaman,744112,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-21,Andaman and Nicobar Islands,North And Middle Andaman,744209,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-22,Andaman and Nicobar Islands,South Andaman,744101,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-23,Andaman and Nicobar Islands,South Andaman,744106,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-24,Andaman and Nicobar Islands,South Andaman,744104,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-25,Andaman and Nicobar Islands,North And Middle Andaman,744202,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-26,Andaman and Nicobar Islands,North And Middle Andaman,744210,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-27,Andaman and Nicobar Islands,South Andaman,744107,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-28,Andaman and Nicobar Islands,South Andaman,744206,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-29,Andaman and Nicobar Islands,South Andaman,744105,2.0,0.0,0.0,5.0,6.0,0.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-12-31,Andaman and Nicobar Islands,North And Middle Andaman,744203,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-03-01,Andhra Pradesh,West Godavari,534196,2.0,0.0,0.0,108.0,41.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-03-20,Andhra Pradesh,Spsr Nellore,524311,15.0,19.0,17.0,5.0,6.0,1.0,6.0,51.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-04-01,Andhra Pradesh,Kurnool,518313,2.0,0.0,0.0,5.0,6.0,132.0,828.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-05-01,Andhra Pradesh,Hyderabad,500023,2.0,0.0,0.0,64.0,255.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-06-01,Andhra Pradesh,Rangareddi,500079,2.0,0.0,0.0,61.0,206.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-07-01,Andhra Pradesh,Sri Sathya Sai,515201,2.0,0.0,0.0,5.0,6.0,162.0,620.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-01,Andhra Pradesh,West Godavari,534122,2.0,0.0,0.0,5.0,6.0,0.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-02,Andhra Pradesh,Nalgonda,508245,2.0,0.0,0.0,1.0,8.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-03,Andhra Pradesh,Visakhapatnam,531034,2.0,0.0,0.0,5.0,6.0,0.0,11.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-04,Andhra Pradesh,Kurnool,518308,2.0,0.0,0.0,5.0,6.0,0.0,8.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-05,Andhra Pradesh,Visakhapatnam,531162,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-06,Andhra Pradesh,Guntur,522311,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-07,Andhra Pradesh,Adilabad,504219,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-08,Andhra Pradesh,West Godavari,534101,2.0,0.0,0.0,5.0,6.0,4.0,34.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-09,Andhra Pradesh,East Godavari,533238,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-10,Andhra Pradesh,Karimnagar,505505,2.0,0.0,0.0,0.0,3.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-11,Andhra Pradesh,Warangal,506143,2.0,0.0,0.0,5.0,6.0,0.0,5.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-12,Andhra Pradesh,Ananthapuramu,515455,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-13,Andhra Pradesh,N. T. R,521170,2.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-14,Andhra Pradesh,East Godavari,533286,2.0,0.0,0.0,5.0,6.0,0.0,3.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-15,Andhra Pradesh,Kurnool,518112,2.0,0.0,0.0,5.0,6.0,0.0,5.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-16,Andhra Pradesh,K.v. Rangareddy,501510,2.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-17,Andhra Pradesh,Kurnool,518220,2.0,0.0,0.0,3.0,4.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-18,Andhra Pradesh,Rangareddi,500018,0.0,1.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-19,Andhra Pradesh,Medak,502345,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-20,Andhra Pradesh,K.V.Rangareddy,501202,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-21,Andhra Pradesh,Hyderabad,500013,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-22,Andhra Pradesh,East Godavari,533433,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-23,Andhra Pradesh,Parvathipuram Manyam,532455,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-24,Andhra Pradesh,Kurnool,518347,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-25,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533305,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-26,Andhra Pradesh,Kurnool,518218,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-27,Andhra Pradesh,East Godavari,533436,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-28,Andhra Pradesh,Visakhapatnam,531027,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-29,Andhra Pradesh,Vizianagaram,535591,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-09-30,Andhra Pradesh,Kurnool,518003,0.0,2.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-13,Andhra Pradesh,Visakhapatnam,531001,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-15,Andhra Pradesh,Cuddapah,516474,2.0,0.0,0.0,5.0,6.0,1.0,9.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-16,Andhra Pradesh,Cuddapah,516431,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-17,Andhra Pradesh,Prakasam,523112,2.0,0.0,0.0,5.0,6.0,2.0,9.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-18,Andhra Pradesh,Chittoor,517536,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-19,Andhra Pradesh,East Godavari,534112,2.0,0.0,0.0,5.0,6.0,3.0,3.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-20,Andhra Pradesh,Guntur,522426,2.0,0.0,0.0,5.0,6.0,0.0,5.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-21,Andhra Pradesh,Cuddapah,516257,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-22,Andhra Pradesh,Sri Potti Sriramulu Nellore,524306,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-23,Andhra Pradesh,East Godavari,533289,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-24,Andhra Pradesh,Nalgonda,508373,2.0,0.0,0.0,5.0,6.0,0.0,8.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-25,Andhra Pradesh,Ananthapur,515401,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-26,Andhra Pradesh,Palnadu,522529,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-27,Andhra Pradesh,Karimnagar,505525,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-28,Andhra Pradesh,Ananthapur,515870,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-29,Andhra Pradesh,Mahbubnagar,509410,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-30,Andhra Pradesh,Anantapur,515661,2.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-10-31,Andhra Pradesh,Adilabad,504273,2.0,0.0,0.0,5.0,6.0,3.0,18.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-11-01,Andhra Pradesh,Cuddapah,516434,2.0,0.0,0.0,5.0,6.0,3.0,19.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-11-02,Andhra Pradesh,Ananthapuramu,515765,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.021503164246948408,0.11899050119999055,Decreasing
2025-11-03,Andhra Pradesh,Nizamabad,503175,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.021503164246948408,0.11899050119999055,Decreasing
